Bulan,Tahun,Jenis Produk,Varietas Hibrida,Volume Penjualan,Harga per Unit,Total Pendapatan Bruto,Total Pendapatan Netto,Indeks Permintaan Pasar,Biaya Transportasi,Varietas Benih,Kelas Benih,Kondisi Cuaca_Cerah,Kondisi Cuaca_Hujan,Jenis Pupuk_Jenis B,Jenis Pupuk_Jenis C,Pendapatan per Unit,Rasio Biaya Transportasi
4,2015,Sage 01,Hibrida A,0.14285714285714285,60000,0.1473495058400719,0.13331551040413492,34.02,76400,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,True,False,1.0314465408805034,518495.12195121945
4,2015,Sage 01,Hibrida B,0.45714285714285713,60000,0.4438454627133872,0.4433453638105423,35.45,40600,Jagung Hibrida,Benih Hibrida,False,True,True,False,0.9709119496855345,91473.27935222673
4,2015,Sage 01,Hibrida C,0.7142857142857144,60000,0.6864330637915544,0.6771376375707348,39.69,55900,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,False,0.961006289308176,81435.47120418848
4,2015,Sage 02,Hibrida A,0.17142857142857143,58000,0.15633423180592987,0.14195963106536563,35.91,77000,Jagung Hibrida,Benih Hibrida,False,False,True,False,0.9119496855345909,492534.48275862087
4,2015,Sage 02,Hibrida B,0.7428571428571429,58000,0.6774483378256962,0.6701866951833533,40.28,51500,Jagung Hibrida,Benih Hibrida,False,False,False,False,0.9119496855345911,76020.55702917773
4,2015,Sage 02,Hibrida C,0.31428571428571433,58000,0.2866127583108715,0.2896671567972196,30.46,35500,Jagung Hibrida,Benih Hibrida,False,True,False,True,0.9119496855345911,123860.50156739813
4,2015,Sage 03,Hibrida A,0.5142857142857142,62000,0.5265049415992812,0.5072851223098516,30.27,81100,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,True,False,1.0237596086652692,154034.64163822526
4,2015,Sage 03,Hibrida B,0.45714285714285713,62000,0.47079964061096136,0.47119369068306377,49.89,38100,Jagung Hibrida,Benih Hibrida,True,False,False,True,1.029874213836478,80926.14503816795
4,2015,Sage 03,Hibrida C,0.45714285714285713,62000,0.47079964061096136,0.47025798690014703,36.74,40200,Jagung Hibrida,Benih Hibrida,False,True,False,True,1.029874213836478,85386.64122137404
5,2015,Sage 01,Hibrida A,0.4857142857142857,60000,0.47079964061096136,0.45582141424943196,35.94,72600,Jagung Hibrida,Benih Hibrida,False,False,False,False,0.9692933777284498,154205.7251908397
5,2015,Sage 01,Hibrida B,0.28571428571428575,60000,0.2821203953279424,0.25843247337699954,37.44,95600,Jagung Hibrida,Benih Hibrida,False,False,False,True,0.9874213836477983,338862.4203821657
5,2015,Sage 01,Hibrida C,0.14285714285714285,60000,0.1473495058400719,0.13460767277101993,35.55,73500,Jagung Hibrida,Benih Hibrida,False,False,True,False,1.0314465408805034,498814.02439024387
5,2015,Sage 02,Hibrida A,0.8,58000,0.7295597484276729,0.720180011584904,48.32,55300,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,True,0.9119496855345911,75799.1379310345
5,2015,Sage 02,Hibrida B,0.2285714285714286,58000,0.20844564240790653,0.20104264135810718,38.78,60400,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,False,True,0.911949685534591,289763.7931034483
5,2015,Sage 02,Hibrida C,0.4857142857142857,58000,0.4429469901168014,0.4321169184155416,37.6,63800,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,True,False,0.9119496855345911,144035.29411764708
5,2015,Sage 03,Hibrida A,0.8857142857142857,62000,0.8885893980233602,0.8810319476005881,44.04,48300,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,False,False,1.0032460945425035,54355.813953488374
5,2015,Sage 03,Hibrida B,0.4857142857142857,62000,0.4986522911051213,0.49610123423784697,44.39,44200,Jagung Hibrida,Benih Hibrida,False,True,False,True,1.0266370699223086,88638.91891891892
5,2015,Sage 03,Hibrida C,0.6000000000000001,62000,0.610062893081761,0.6132424363944213,35.81,29300,Jagung Hibrida,Benih Hibrida,False,False,False,False,1.0167714884696015,48027.8350515464
6,2015,Sage 01,Hibrida A,0.31428571428571433,60000,0.30907457322551657,0.2955932807556922,31.96,72200,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,True,0.9834190966266435,233600.58139534888
6,2015,Sage 01,Hibrida B,0.4857142857142857,60000,0.47079964061096136,0.44619703248228854,48.64,94200,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,True,0.9692933777284498,200085.1145038168
6,2015,Sage 01,Hibrida C,0.5714285714285714,60000,0.5516621743036837,0.5537584101947155,44.69,32800,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,True,0.9654088050314465,59456.67752442997
6,2015,Sage 02,Hibrida A,0.5714285714285714,58000,0.5211141060197664,0.5159292429710822,49.45,49700,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,False,0.9119496855345912,95372.58620689655
6,2015,Sage 02,Hibrida B,0.3714285714285714,58000,0.3387241689128482,0.34193289667156795,39.41,34200,Jagung Hibrida,Benih Hibrida,False,False,True,False,0.9119496855345913,100967.10875331564
6,2015,Sage 02,Hibrida C,0.2,58000,0.1823899371069182,0.17622421244931602,35.1,58100,Jagung Hibrida,Benih Hibrida,True,False,True,False,0.911949685534591,318548.27586206904
6,2015,Sage 03,Hibrida A,0.45714285714285713,62000,0.47079964061096136,0.46259412734482913,32.52,57400,Jagung Hibrida,Benih Hibrida,False,False,False,False,1.029874213836478,121920.22900763359
6,2015,Sage 03,Hibrida B,0.45714285714285713,62000,0.47079964061096136,0.4563115448023883,42.2,71500,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,False,True,1.029874213836478,151869.2748091603
6,2015,Sage 03,Hibrida C,0.39999999999999997,62000,0.41509433962264153,0.40453593548099637,40.76,63700,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,True,False,1.037735849056604,153459.0909090909
7,2015,Sage 01,Hibrida A,0.4857142857142857,60000,0.47079964061096136,0.4587621975671701,47.37,66000,Jagung Hibrida,Benih Hibrida,False,False,False,False,0.9692933777284498,140187.02290076338
7,2015,Sage 01,Hibrida B,0.2,60000,0.20125786163522008,0.20233480372499218,31.19,41500,Jagung Hibrida,Benih Hibrida,False,False,False,False,1.0062893081761004,206203.12500000006
7,2015,Sage 01,Hibrida C,0.3714285714285714,60000,0.36298292902066487,0.34621039967918726,42.06,78600,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,True,False,0.9772617319787132,216539.10891089108
7,2015,Sage 02,Hibrida A,0.45714285714285713,58000,0.41689128481581306,0.39339660473198773,36.29,92700,Jagung Hibrida,Benih Hibrida,True,False,False,True,0.9119496855345911,222360.12931034487
7,2015,Sage 02,Hibrida B,0.02857142857142858,58000,0.026055705300988274,0.03680434879472444,31.91,23000,Jagung Hibrida,Benih Hibrida,False,False,False,True,0.9119496855345893,882724.1379310361
7,2015,Sage 02,Hibrida C,0.8857142857142857,58000,0.8077268643306378,0.8092946575769728,44.0,29300,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,False,True,0.9119496855345911,36274.638487208016
7,2015,Sage 03,Hibrida A,0.2571428571428572,62000,0.2758310871518418,0.27358196319565126,40.98,47600,Jagung Hibrida,Benih Hibrida,False,False,True,False,1.0726764500349402,172569.3811074919
7,2015,Sage 03,Hibrida B,0.05714285714285716,62000,0.08086253369272234,0.0736532549124449,31.32,62300,Jagung Hibrida,Benih Hibrida,False,True,False,False,1.4150943396226405,770443.3333333336
7,2015,Sage 03,Hibrida C,0.6285714285714286,62000,0.6379155435759208,0.6342734928485496,35.86,44100,Jagung Hibrida,Benih Hibrida,False,False,False,True,1.0148656375071468,69131.40845070424
8,2015,Sage 01,Hibrida A,0.11428571428571427,60000,0.12039532794249774,0.10711580448246671,35.63,75200,Jagung Hibrida,Benih Hibrida,True,False,False,True,1.0534591194968554,624608.9552238807
8,2015,Sage 01,Hibrida B,0.5428571428571429,60000,0.5247079964061095,0.5147261952501894,39.51,60400,Jagung Hibrida,Benih Hibrida,False,True,False,True,0.966567361800728,115111.64383561646
8,2015,Sage 01,Hibrida C,0.2285714285714286,60000,0.22821203953279423,0.22479169451499353,33.38,51100,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,True,False,0.9984276729559747,223914.56692913387
8,2015,Sage 02,Hibrida A,0.3714285714285714,58000,0.3387241689128482,0.3371207057879963,44.57,45000,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,True,False,0.9119496855345913,132851.45888594163
8,2015,Sage 02,Hibrida B,0.9428571428571428,58000,0.8598382749326144,0.8504210667023124,47.35,53000,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,False,0.9119496855345911,61639.49843260189
8,2015,Sage 02,Hibrida C,0.6571428571428573,58000,0.5992812219227314,0.5877556476406898,36.89,62500,Jagung Hibrida,Benih Hibrida,True,False,True,False,0.9119496855345911,104291.60419790105
8,2015,Sage 03,Hibrida A,0.6571428571428573,62000,0.6657681940700809,0.6381945372722007,37.89,97300,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,True,False,1.0131255127153405,146146.96356275302
8,2015,Sage 03,Hibrida B,0.8571428571428572,62000,0.8607367475292004,0.8590651873635431,43.87,35600,Jagung Hibrida,Benih Hibrida,False,False,False,True,1.0041928721174003,41359.91649269311
8,2015,Sage 03,Hibrida C,0.5714285714285714,62000,0.582210242587601,0.5651650848817003,49.25,75200,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,False,1.0188679245283019,129162.96296296298
9,2015,Sage 01,Hibrida A,0.3428571428571429,60000,0.3360287511230907,0.3155549614579157,31.7,87400,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,True,0.9800838574423477,260096.7914438503
9,2015,Sage 01,Hibrida B,0.4857142857142857,60000,0.47079964061096136,0.44775653878714966,30.56,90700,Jagung Hibrida,Benih Hibrida,False,False,False,True,0.9692933777284498,192650.95419847328
9,2015,Sage 01,Hibrida C,0.3714285714285714,60000,0.36298292902066487,0.3628748384797042,39.79,41200,Jagung Hibrida,Benih Hibrida,False,False,False,True,0.9772617319787132,113503.9603960396
9,2015,Sage 02,Hibrida A,0.6285714285714286,58000,0.573225516621743,0.5612440404580492,38.63,64000,Jagung Hibrida,Benih Hibrida,False,True,True,False,0.9119496855345912,111648.90282131662
9,2015,Sage 02,Hibrida B,0.8285714285714285,58000,0.7556154537286613,0.7438845074187943,41.25,60100,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,True,False,0.9119496855345913,79537.81212841855
9,2015,Sage 02,Hibrida C,0.45714285714285713,58000,0.41689128481581306,0.406719244307802,45.9,62800,Jagung Hibrida,Benih Hibrida,True,False,False,False,0.9119496855345911,150638.7931034483
9,2015,Sage 03,Hibrida A,0.4857142857142857,62000,0.4986522911051213,0.4876799001915965,39.83,63100,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,False,False,1.0266370699223086,126541.08108108108
9,2015,Sage 03,Hibrida B,0.28571428571428575,62000,0.30368373764600176,0.28146860936594936,40.8,91900,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,True,False,1.062893081761006,302617.45562130184
9,2015,Sage 03,Hibrida C,0.17142857142857143,62000,0.1922731356693621,0.18183843514681636,33.04,67500,Jagung Hibrida,Benih Hibrida,True,False,False,True,1.1215932914046123,351063.0841121495
10,2015,Sage 01,Hibrida A,0.6000000000000001,60000,0.5786163522012578,0.560932139197077,38.0,76700,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,True,False,0.9643605870020963,132557.6086956522
10,2015,Sage 01,Hibrida B,0.31428571428571433,60000,0.30907457322551657,0.28400837677672325,34.69,98200,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,False,0.9834190966266435,317722.6744186047
10,2015,Sage 01,Hibrida C,0.28571428571428575,60000,0.2821203953279424,0.2581651294390233,37.31,96200,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,True,False,0.9874213836477983,340989.1719745224
10,2015,Sage 02,Hibrida A,0.5142857142857142,58000,0.4690026954177897,0.4541727932985787,42.28,72300,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,False,0.9119496855345912,154156.89655172414
10,2015,Sage 02,Hibrida B,0.3714285714285714,58000,0.3387241689128482,0.33364523459430556,33.76,52800,Jagung Hibrida,Benih Hibrida,False,False,False,False,0.9119496855345913,155879.04509283818
10,2015,Sage 02,Hibrida C,0.45714285714285713,58000,0.41689128481581306,0.39749587844762285,38.14,83500,Jagung Hibrida,Benih Hibrida,False,False,True,False,0.9119496855345911,200292.025862069
10,2015,Sage 03,Hibrida A,0.6857142857142857,62000,0.6936208445642408,0.6873412645368266,35.61,49000,Jagung Hibrida,Benih Hibrida,False,True,True,False,1.0115303983228512,70643.78238341969
10,2015,Sage 03,Hibrida B,0.2,62000,0.22012578616352196,0.2091520741433855,39.47,68200,Jagung Hibrida,Benih Hibrida,True,False,False,False,1.1006289308176098,309822.8571428572
10,2015,Sage 03,Hibrida C,0.39999999999999997,62000,0.41509433962264153,0.4023080693311946,35.62,68700,Jagung Hibrida,Benih Hibrida,False,False,False,False,1.037735849056604,165504.54545454544
11,2015,Sage 01,Hibrida A,0.08571428571428574,60000,0.0934411500449236,0.09223365860179122,32.09,48600,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,True,1.0901467505241083,520113.46153846174
11,2015,Sage 01,Hibrida B,0.8285714285714285,60000,0.7942497753818508,0.7916499576705431,45.12,38900,Jagung Hibrida,Benih Hibrida,False,False,False,True,0.958577315116027,48977.036199095026
11,2015,Sage 01,Hibrida C,0.31428571428571433,60000,0.30907457322551657,0.29207325223900554,40.76,80100,Jagung Hibrida,Benih Hibrida,False,False,False,True,0.9834190966266435,259160.75581395352
11,2015,Sage 02,Hibrida A,0.5428571428571429,58000,0.49505840071877805,0.4978835271576884,30.72,32200,Jagung Hibrida,Benih Hibrida,False,True,True,False,0.911949685534591,65042.83121597097
11,2015,Sage 02,Hibrida B,0.42857142857142855,58000,0.3908355795148247,0.3970057478946665,41.43,26600,Jagung Hibrida,Benih Hibrida,False,False,False,True,0.9119496855345911,68059.3103448276
11,2015,Sage 02,Hibrida C,0.39999999999999997,58000,0.3647798742138365,0.34892839638194534,48.71,76500,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,False,False,0.9119496855345913,209715.5172413793
11,2015,Sage 03,Hibrida A,1.0,62000,0.9999999999999999,0.9980840351111704,49.39,33600,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,False,0.9999999999999999,33600.00000000001
11,2015,Sage 03,Hibrida B,0.8,62000,0.8050314465408804,0.803234861649512,46.86,36900,Jagung Hibrida,Benih Hibrida,False,True,True,False,1.0062893081761004,45836.71875000001
11,2015,Sage 03,Hibrida C,0.6285714285714286,62000,0.6379155435759208,0.6146237134072985,45.95,88200,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,True,False,1.0148656375071468,138262.81690140849
12,2015,Sage 01,Hibrida A,0.14285714285714285,60000,0.1473495058400719,0.1380831439647106,36.6,65700,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,False,False,1.0314465408805034,445878.65853658534
12,2015,Sage 01,Hibrida B,0.2571428571428572,60000,0.2551662174303684,0.2319208661943591,41.56,95100,Jagung Hibrida,Benih Hibrida,True,False,False,True,0.9923130677847658,372698.2394366197
12,2015,Sage 01,Hibrida C,0.8285714285714285,60000,0.7942497753818508,0.7745399456400659,47.1,77300,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,False,0.958577315116027,97324.54751131222
12,2015,Sage 02,Hibrida A,0.3428571428571429,58000,0.31266846361185985,0.3039255001559506,31.25,61500,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,True,False,0.9119496855345911,196693.96551724136
12,2015,Sage 02,Hibrida B,0.05714285714285716,58000,0.052111410601976604,0.054315376732165965,30.9,41700,Jagung Hibrida,Benih Hibrida,False,False,True,False,0.9119496855345903,800208.6206896558
12,2015,Sage 02,Hibrida C,0.8571428571428572,58000,0.7816711590296496,0.7753865347769906,49.55,47400,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,False,0.9119496855345911,60639.31034482759
12,2015,Sage 03,Hibrida A,0.5714285714285714,62000,0.582210242587601,0.565967116695629,48.89,73400,Jagung Hibrida,Benih Hibrida,True,False,True,False,1.0188679245283019,126071.2962962963
12,2015,Sage 03,Hibrida B,0.3428571428571429,62000,0.3593890386343216,0.3468787595241278,35.85,69100,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,True,1.0482180293501044,192270.75000000003
12,2015,Sage 03,Hibrida C,0.6285714285714286,62000,0.6379155435759208,0.612841420487457,46.9,92200,Jagung Hibrida,Benih Hibrida,False,True,True,False,1.0148656375071468,144533.23943661974
1,2016,Sage 01,Hibrida A,0.5142857142857142,60000,0.4977538185085355,0.48032794189725087,33.86,77600,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,False,0.9678546470999303,155900.36101083033
1,2016,Sage 01,Hibrida B,0.7428571428571429,60000,0.7133872416891284,0.7132736265205186,38.38,34800,Jagung Hibrida,Benih Hibrida,False,True,False,True,0.9603289791969035,48781.36020151134
1,2016,Sage 01,Hibrida C,0.6285714285714286,60000,0.605570530098832,0.5849930936149357,43.45,82700,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,True,False,0.9634076615208691,136565.4302670623
1,2016,Sage 02,Hibrida A,0.6571428571428573,58000,0.5992812219227314,0.6043309717952146,36.41,25300,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,False,0.9119496855345911,42217.24137931034
1,2016,Sage 02,Hibrida B,0.6857142857142857,58000,0.6253369272237197,0.6187675444459297,38.89,50900,Jagung Hibrida,Benih Hibrida,False,True,False,True,0.9119496855345912,81396.12068965517
1,2016,Sage 02,Hibrida C,0.39999999999999997,58000,0.3647798742138365,0.34812636456801677,48.1,78300,Jagung Hibrida,Benih Hibrida,True,False,False,False,0.9119496855345913,214649.99999999997
1,2016,Sage 03,Hibrida A,0.4857142857142857,62000,0.4986522911051213,0.4801497126052667,31.94,80000,Jagung Hibrida,Benih Hibrida,True,False,False,False,1.0266370699223086,160432.43243243243
1,2016,Sage 03,Hibrida B,0.39999999999999997,62000,0.41509433962264153,0.42365102704629504,48.65,20800,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,True,1.037735849056604,50109.090909090904
1,2016,Sage 03,Hibrida C,0.2285714285714286,62000,0.24797843665768193,0.24827340373390366,33.54,42400,Jagung Hibrida,Benih Hibrida,True,False,False,False,1.0849056603773584,170982.6086956522
2,2016,Sage 01,Hibrida A,0.6571428571428573,60000,0.632524707996406,0.6382390945951968,33.92,23200,Jagung Hibrida,Benih Hibrida,True,False,False,False,0.9625375991249655,36678.409090909096
2,2016,Sage 01,Hibrida B,0.17142857142857143,60000,0.17430368373764593,0.17564496725036766,33.73,41400,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,True,False,1.0167714884696013,237516.49484536092
2,2016,Sage 01,Hibrida C,0.5428571428571429,60000,0.5247079964061095,0.519449271487769,36.66,49800,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,True,0.966567361800728,94909.93150684933
2,2016,Sage 02,Hibrida A,0.3714285714285714,58000,0.3387241689128482,0.32192665864634856,36.04,79100,Jagung Hibrida,Benih Hibrida,False,False,False,True,0.9119496855345913,233523.3421750663
2,2016,Sage 02,Hibrida B,0.45714285714285713,58000,0.41689128481581306,0.4169228712738939,47.24,39900,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,True,0.9119496855345911,95708.40517241381
2,2016,Sage 02,Hibrida C,0.8285714285714285,58000,0.7556154537286613,0.7492313861783184,44.69,48100,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,True,False,0.9119496855345913,63656.71819262782
2,2016,Sage 03,Hibrida A,0.6000000000000001,62000,0.610062893081761,0.5870872877957491,33.22,88000,Jagung Hibrida,Benih Hibrida,False,False,False,False,1.0167714884696015,144247.4226804124
2,2016,Sage 03,Hibrida B,0.39999999999999997,62000,0.41509433962264153,0.4140266452791516,41.53,42400,Jagung Bersari Bebas (Komposit),Benih Komposit,False,True,False,False,1.037735849056604,102145.45454545454
2,2016,Sage 03,Hibrida C,0.5428571428571429,62000,0.5543575920934412,0.5614668270730294,36.24,21500,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,True,1.0211850380668652,38783.63047001621
3,2016,Sage 01,Hibrida A,0.5428571428571429,60000,0.5247079964061095,0.5062157465579469,39.92,79500,Jagung Hibrida,Benih Hibrida,False,True,True,False,0.966567361800728,151512.84246575343
3,2016,Sage 01,Hibrida B,0.6000000000000001,60000,0.5786163522012578,0.5729626164060064,43.62,49700,Jagung Hibrida,Benih Hibrida,False,False,True,False,0.9643605870020963,85894.56521739131
3,2016,Sage 01,Hibrida C,0.45714285714285713,60000,0.4438454627133872,0.4310475426636368,34.06,68200,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,False,0.9709119496855345,153657.08502024293
3,2016,Sage 02,Hibrida A,0.6285714285714286,58000,0.573225516621743,0.5712248808091609,48.11,41600,Jagung Bersari Bebas (Komposit),Benih Komposit,True,False,False,True,0.9119496855345912,72571.7868338558
3,2016,Sage 02,Hibrida B,0.6571428571428573,58000,0.5992812219227314,0.5712248808091609,34.02,99600,Jagung Hibrida,Benih Hibrida,False,True,False,False,0.9119496855345911,166199.1004497751
3,2016,Sage 02,Hibrida C,0.2285714285714286,58000,0.20844564240790653,0.19841375930134114,35.86,66300,Jagung Bersari Bebas (Komposit),Benih Komposit,False,False,False,False,0.911949685534591,318068.53448275867
3,2016,Sage 03,Hibrida A,0.6857142857142857,62000,0.6936208445642408,0.667201354542619,37.91,94200,Jagung Hibrida,Benih Hibrida,True,False,True,False,1.0115303983228512,135809.06735751295
